PUBID,KEY!SEX,KEY!BDATE_M,KEY!BDATE_Y,CV_SAMPLE_TYPE,KEY!RACE_ETHNICITY,CV_HGC_EVER_EDT,YINC-1700,CVC_HOURS_WK_YR_ALL.10
1,2,9,1981,1,4,16,47000,2060
2,1,7,1982,1,2,14,52000,3103
3,2,9,1983,1,2,-5,-5,2056
4,2,2,1981,1,2,13,41000,2170
5,1,10,1982,1,2,12,62000,3006
6,2,1,1982,1,2,14,31200,2112
7,1,4,1983,1,2,11,19000,0
8,2,6,1981,1,4,-5,-5,2720
9,1,10,1982,1,4,18,24000,2080
10,1,3,1984,1,4,-5,-5,-4
11,2,6,1982,1,2,15,16000,1092
12,1,10,1981,1,2,13,52000,3879
13,1,11,1984,1,2,10,-4,1940
14,1,7,1980,1,2,-5,-5,0
15,2,1,1983,1,2,14,12000,1222
16,1,2,1982,1,2,16,38000,0
17,2,11,1981,1,2,-5,-5,-4
18,1,2,1982,1,1,13,-4,0
19,1,4,1984,1,1,-3,-2,1068
20,1,12,1980,1,1,8,-4,0
21,1,8,1982,1,2,8,-4,0
22,1,6,1982,1,2,13,50000,2496
23,2,1,1983,1,2,15,54000,2012
24,1,6,1984,1,2,8,-4,0
25,2,3,1983,1,2,8,-4,0
26,1,10,1980,1,1,11,-4,0
27,1,5,1981,1,1,-3,-4,0
28,2,11,1983,1,1,17,31000,2080
29,2,1,1983,1,4,-5,-5,-4
30,1,6,1981,1,4,-5,-5,-4
31,1,7,1982,1,4,16,80000,2221
32,2,7,1981,1,4,18,80000,1920
33,2,12,1980,1,4,16,15000,2392
34,2,12,1984,1,4,17,-4,0
35,1,1,1983,1,4,16,-2,2050
36,2,8,1980,1,4,14,-4,0
37,2,11,1980,1,4,17,50000,984
38,2,9,1981,1,4,16,45000,2344
39,1,2,1980,1,2,-5,-5,1575
40,2,5,1984,1,4,-5,-5,-4
41,2,1,1983,1,4,17,40000,1600
42,1,8,1983,1,4,17,-4,0
43,2,10,1981,1,1,13,26000,-3
44,1,12,1981,1,2,13,-4,0
45,2,2,1984,1,1,11,-2,1302
46,1,2,1984,1,1,-5,-5,0
47,2,9,1982,1,1,14,21000,2372
48,2,7,1983,1,1,16,45000,2504
49,2,12,1982,1,1,12,33000,1560
50,2,2,1983,1,1,13,26000,1707
51,1,6,1980,1,1,14,24000,2152
52,1,12,1983,1,1,14,32000,1656
53,2,4,1984,1,1,12,30000,2080
54,2,12,1984,1,1,14,10000,1695
55,2,2,1981,1,2,16,41000,2080
56,2,2,1982,1,4,18,75000,2284
57,1,12,1982,1,1,12,2000,4380
58,1,11,1983,1,1,14,62000,2912
59,2,4,1981,1,1,15,-4,-3
60,1,1,1984,1,4,18,4000,0
61,2,5,1983,1,1,14,25000,2736
62,1,3,1980,1,1,17,36000,1973
63,2,10,1984,1,1,15,-4,0
64,1,3,1980,1,1,-5,-5,-4
65,1,4,1984,1,1,14,-2,40
66,1,10,1980,1,1,-5,-5,-4
67,1,11,1980,1,1,19,-4,20
68,1,1,1981,1,1,95,-4,6160
69,2,7,1981,1,1,18,52000,2080
70,1,8,1982,1,1,16,-2,-3
71,1,1,1980,1,1,13,38000,2248
72,2,4,1982,1,1,-5,-5,0
73,1,10,1984,1,1,-5,-5,-4
74,1,7,1983,1,4,19,-4,1360
75,1,1,1982,1,4,15,36000,2080
76,1,1,1982,1,4,14,68000,2272
77,2,11,1984,1,2,-5,-5,-4
78,2,7,1981,1,4,14,15000,675
79,1,12,1983,1,2,13,5000,1140
80,1,6,1981,1,1,11,-4,0
81,2,1,1984,1,1,11,-2,1115
82,1,7,1984,1,2,16,-4,1088
83,1,9,1981,1,2,12,20000,1720
84,2,2,1984,1,2,12,35000,0
85,1,2,1984,1,4,12,20000,2288
86,2,10,1980,1,4,18,37300,1976
87,1,5,1984,1,2,-5,-5,-4
88,1,1,1981,1,4,-5,-5,2397
89,1,11,1981,1,4,18,59000,2640
90,1,11,1981,1,2,14,28000,2031
91,2,9,1982,1,2,16,38000,2384
92,1,4,1983,1,4,12,-4,15
93,1,9,1983,1,2,12,26500,2600
94,2,9,1980,1,1,14,55000,2636
95,1,7,1982,1,2,-5,-5,-4
96,1,7,1982,1,4,-5,-5,-4
97,1,6,1980,1,2,16,58000,2080
98,1,1,1980,1,4,18,57000,0
99,1,6,1982,1,2,-5,-5,-4
100,2,1,1981,1,1,11,40000,1243
101,2,7,1981,1,1,12,-4,1222
102,2,4,1982,1,2,-5,-5,2392
103,2,11,1983,1,2,-5,-5,-4
104,2,11,1980,1,4,16,70000,1015
105,1,8,1983,1,4,12,50000,2172
106,1,11,1981,1,4,-5,-5,-4
107,2,8,1982,1,4,16,70000,1990
108,1,9,1984,1,4,16,47000,2080
109,2,3,1982,1,4,16,50000,2590
110,2,2,1984,1,4,18,54000,2080
111,2,1,1981,1,4,16,22000,1920
112,2,4,1984,1,4,-5,-5,-4
113,1,4,1984,1,4,17,2000,360
114,2,7,1982,1,4,16,43000,2860
115,2,10,1984,1,2,-5,-5,3120
116,1,10,1984,1,1,12,18000,1630
117,1,10,1984,1,1,12,25000,2510
118,1,6,1980,1,4,-5,-5,-4
119,1,9,1982,1,4,-5,-5,2340
120,1,6,1982,1,4,-5,-5,2200
121,1,12,1981,1,4,-5,-5,1880
122,1,6,1984,1,4,12,26000,2080
123,1,2,1980,1,4,-5,-5,-4
124,1,2,1982,1,4,-5,-5,-4
125,2,5,1984,1,4,-5,-5,-4
126,1,5,1981,1,4,12,55000,2281
127,2,3,1982,1,4,16,50000,2935
128,2,8,1982,1,4,17,50000,2445
129,2,8,1980,1,4,-5,-5,-4
130,2,7,1981,1,4,-5,-5,-4
